"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
443560040,NA,"2023-02-28",1,14,1,50,"[""2""]",1,NA,NA,NA
443576064,NA,"2023-01-31",5,88,1,13,"[""3"", ""4""]",1,NA,NA,NA
443578738,NA,"2023-03-31",1,13,1,600,"[""2""]",1,NA,NA,NA
443578738,NA,"2023-03-31",1,88,1,100,"[""2""]",1,NA,NA,NA
443578738,NA,"2023-03-31",1,88,1,16,"[""2""]",1,NA,NA,NA
443578738,NA,"2023-03-31",1,14,1,50,"[""2""]",1,NA,NA,NA
443578738,NA,"2023-03-31",1,2,1,3,"[""1""]",1,NA,NA,NA
443580061,NA,"2023-02-28",5,88,0,0,"[""88""]",0,NA,NA,NA
443584023,NA,"2023-03-31",5,88,0,0,"[""88""]",0,NA,NA,NA
443586635,NA,"2023-04-30",5,88,0,0,"[""88""]",0,NA,NA,NA
443588295,NA,"2023-06-23",12,3,8,240,"[""2""]",8,NA,NA,NA
443588295,NA,"2023-06-23",12,88,10,60,"[""2""]",10,NA,NA,NA
443590641,NA,"2023-05-31",5,3,1,1,"[""2""]",1,NA,NA,NA
443596490,NA,"2023-06-15",5,88,0,0,"[""88""]",0,NA,NA,NA
443596977,NA,"2023-06-23",1,88,1,10,"[""2""]",1,NA,NA,NA
443596977,NA,"2023-06-23",1,3,1,50,"[""2""]",1,NA,NA,NA
443596977,NA,"2023-06-23",1,88,1,11,"[""2""]",1,NA,NA,NA
443661771,NA,"2023-01-15",16,2,3,2,"[""1""]",0,NA,NA,NA
443661771,NA,"2023-01-15",16,88,2,11,"[""1""]",6,NA,NA,NA
443669656,NA,"2023-02-15",16,88,2,5,"[""88""]",0,NA,NA,NA
443669656,NA,"2023-02-15",16,88,1,2,"[""1""]",0,NA,NA,NA
443678475,NA,"2023-03-15",16,2,4,32,"[""88""]",0,NA,NA,NA
443678475,NA,"2023-03-15",16,88,1,2,"[""1""]",0,NA,NA,NA
443682718,NA,"2023-04-15",16,2,1,1,"[""1""]",0,NA,NA,NA
443682718,NA,"2023-04-15",16,13,1,2,"[""1""]",1,NA,NA,NA
443687015,NA,"2023-05-15",16,13,1,3,"[""88""]",1,NA,NA,NA
443729132,NA,"2023-05-31",6,2,1,5,"[""3""]",1,NA,NA,NA
443729132,NA,"2023-05-31",6,8,1,1,"[""3""]",1,NA,NA,NA
443729132,NA,"2023-05-31",6,3,8,4,"[""2""]",8,NA,NA,NA
443729132,NA,"2023-05-31",6,4,2,4,"[""2""]",2,NA,NA,NA
443729132,NA,"2023-05-31",6,88,2,4,"[""2""]",2,NA,NA,NA
443907202,NA,"2023-06-15",10,13,5,3,"[""1""]",0,NA,NA,NA
444735553,NA,"2023-03-31",10,13,12,5,"[""1""]",0,NA,NA,NA
444736200,NA,"2023-04-30",10,13,9,3,"[""1""]",0,NA,NA,NA
444737027,NA,"2023-05-31",10,13,5,2,"[""2""]",2,NA,NA,NA
444745832,NA,"2023-01-20",2,4,4,6500,"[""2""]",4,NA,NA,NA
444745832,NA,"2023-01-20",2,2,2,1,"[""1"", ""3""]",2,NA,NA,NA
444750530,NA,"2023-01-31",6,3,5,4,"[""2""]",5,NA,NA,NA
444750530,NA,"2023-01-31",6,4,1,4,"[""2""]",1,NA,NA,NA
444750530,NA,"2023-01-31",6,88,1,3,"[""2""]",1,NA,NA,NA
444756801,NA,"2023-07-03",6,3,0,0,"[""2""]",0,NA,NA,NA
444826316,NA,"2023-03-15",24,88,1,4,"[""2""]",1,NA,NA,NA
444832093,NA,"2023-04-15",24,13,3,3,"[""2""]",3,NA,NA,NA
444836352,NA,"2023-05-15",24,13,4,4,"[""2""]",4,NA,NA,NA
444868066,NA,"2023-02-20",2,4,20,13310,"[""2""]",20,NA,NA,NA
444868066,NA,"2023-02-20",2,4,16,3310,"[""6""]",16,NA,NA,NA
444868066,NA,"2023-02-20",2,3,1,1200,"[""2""]",1,NA,NA,NA
444868066,NA,"2023-02-20",2,88,6,550,"[""2""]",6,NA,NA,NA
444916201,NA,"2023-03-17",2,4,16,9300,"[""2""]",16,NA,NA,NA
444916201,NA,"2023-03-17",2,2,2,4,"[""1""]",2,NA,NA,NA
444916201,NA,"2023-03-17",2,3,1,400,"[""2""]",1,NA,NA,NA
